JAN,在庫数,薬品名,棚番
4987128300891,440,ウルソ顆粒５％(ﾊﾞﾗ1ｇ),散剤引出し１
4987128300914,66,ウルソ錠５０ｍｇ(PTP1錠),茶
4987128300846,373,ウルソ錠１００ｍｇ(PTP1錠),茶､PTP/ﾊﾞﾗ
4987376041317,1656,ウルソデオキシコール酸錠１００ｍｇ「ＺＥ」(PTP1錠),茶､PTP
4987376041355,1009,ウルソデオキシコール酸錠１００ｍｇ「ＺＥ」(ﾊﾞﾗ1錠),カセット､バラ
4987443352155,86,ウルティブロ吸入用カプセル(PTP1Ｃ),吸入
4987035044314,200,ウレパールクリーム１０％(ﾁｭｰﾌﾞ20ｇ),外用下､２０Ｇ
4987173016273,563,ウロカルン錠２２５ｍｇ(PTP1錠),茶
4987443374560,60,エイゾプト懸濁性点眼液１％(本5mL),茶点眼､5ml
4987084304551,20,エイベリス点眼液０．００２％(本2.5mL),冷蔵庫大
4987123141437,120,エカード配合錠ＨＤ(PTP1錠),下袋
4987213030405,60,エキザルベ(ﾁｭｰﾌﾞ5ｇ),外用下
4987116530217,312,エクア錠５０ｍｇ(PTP1錠),茶
4987116038515,86,エクセグラン錠１００ｍｇ(PTP1錠),茶劇
4987222698320,1220,エクセラーゼ配合錠(PTP1錠),茶
4987028204152,173,エクフィナ錠５０ｍｇ(PTP1錠),茶劇
4987116530170,679,エクメット配合錠ＨＤ(PTP1錠),茶劇
4987116530132,185,エクメット配合錠ＬＤ(PTP1錠),茶劇
4987158313359,0,エクラーローション０．３％(本10ｇ),""
4987084106131,7,エコリシン眼軟膏(ﾁｭｰﾌﾞ3.5ｇ),点眼袋
4987087034868,178,ＳＧ配合顆粒(分包1ｇ),分包棚４､１Ｇ分包
4987155154085,242,エスゾピクロン錠１ｍｇ「トーワ」(PTP1錠),茶
4987155154108,125,エスゾピクロン錠２ｍｇ「トーワ」(PTP1錠),下
4987376149518,57,エスタゾラム錠２ｍｇ「アメル」(PTP1錠),向3-30
4987188452073,50,エストラーナテープ０．７２ｍｇ　９ｃｍ２(枚1枚),外用下
4987173017065,0,エストラサイトカプセル１５６．７ｍｇ(PTP1Ｃ),抗癌剤（１）
4987224013909,75,エストリール錠１ｍｇ（持田）(PTP1錠),下
4987224016207,50,エストリール腟錠０．５ｍｇ(SP1錠),未廃棄箱
4987222697415,315,ＳＰトローチ０．２５ｍｇ「明治」(PTP1錠),外用茶
4987117170023,190,エスワンタイホウ配合ＯＤ錠Ｔ２０　２０ｍｇ（テガフール相当量）(PTP1錠),抗癌剤（１）
4987447240014,341,エゼチミブ錠１０ｍｇ「日新」(PTP1錠),茶
4987896040784,0,エタネルセプトＢＳ皮下注５０ｍｇペン１．０ｍＬ「ＭＡ」　１ｍＬ(ｷｯﾄ1ｷｯﾄ),""
4987173080274,5000,エタノール　シオエ(ﾊﾞﾗ1mL),""
4987123416740,11,エチゾラム錠０．２５ｍｇ「武田テバ」(PTP1錠),向3-30
4987123416757,185,エチゾラム錠０．５ｍｇ「武田テバ」(PTP1錠),茶向30､PTP／バラ
4987443359888,167,エックスフォージ配合ＯＤ錠(PTP1錠),茶劇
4987136118938,0,エディロールカプセル０．５μｇ(PTP1Ｃ),""
4987136118983,403,エディロールカプセル０．７５μｇ(PTP1Ｃ),茶劇
4987792158019,100,エトドラク錠２００ｍｇ「ＪＧ」(PTP1錠),不動在庫
4987901038300,250,エナラプリルマレイン酸塩錠２．５ｍｇ「ＶＴＲＳ」(PTP1錠),茶
4987440527013,319,エナラプリルマレイン酸塩錠５ｍｇ「ケミファ」(PTP1錠),茶
4987190004109,100,エバスチンＯＤ錠１０ｍｇ「ＮＰ」(PTP1錠),新規薬
4987114526700,32,エバスチンＯＤ錠１０ｍｇ「ファイザー」(PTP1錠),下
4987224033235,202,エパデールＳ６００　６００ｍｇ(ｽﾃｨｯｸ包1包),分包棚３
4987224033273,25,エパデールＳ９００　９００ｍｇ(ｽﾃｨｯｸ包1包),分包棚３
4987155733051,462,エパルレスタット錠５０ｍｇ「トーワ」(PTP1錠),茶
4987901039703,71,エピナスチン塩酸塩錠１０ｍｇ「ＶＴＲＳ」(PTP1錠),下
4987155760057,173,エピナスチン塩酸塩錠２０ｍｇ「トーワ」(PTP1錠),茶
4987243318108,40,エピナスチン塩酸塩点眼液０．０５％「わかもと」(本5mL),点眼下
4987173017324,43,エビプロスタット配合錠ＤＢ(PTP1錠),下
4987888140195,0,エピペン注射液０．３ｍｇ(筒1筒),""
4987035076711,30,エビリファイ錠１ｍｇ(PTP1錠),下劇袋
4987035030317,23,エビリファイ錠３ｍｇ(PTP1錠),下劇
4987035521914,0,エビリファイＯＤ錠３ｍｇ(ﾌﾞﾘｽﾀｰ1錠),""
4987081103324,143,エフィエント錠３．７５ｍｇ(PTP1錠),下
4987197162208,215.8,ＦＫ配合散(分包1.3ｇ),分包棚４､1.3G分包
4987042110736,154,エブトール２５０ｍｇ錠(PTP1錠),不動在庫
4987782126202,21,エフピーＯＤ錠２．５　２．５ｍｇ(PTP1錠),覚せい剤原料
4987086511063,540,エブランチルカプセル１５ｍｇ(PTP1Ｃ),茶
4987155066104,417,エペリゾン塩酸塩錠５０ｍｇ「トーワ」(PTP1錠),""
4987641077317,3000,ＭＳ温シップ「タイホウ」(枚100ｇ),湿布棚３
4987087028867,86,ＭＳコンチン錠１０ｍｇ(PTP1錠),麻薬
4987117180114,1300,ＭＳ冷シップ「タイホウ」(枚100ｇ),湿布棚３
4987114175007,261,エリキュース錠２．５ｍｇ(PTP1錠),茶
4987114175106,242,エリキュース錠５ｍｇ(PTP1錠),茶
4987888170512,88,エリスロシン錠２００ｍｇ(PTP1錠),茶
4987888170536,64.5,エリスロシンドライシロップ１０％　１００ｍｇ(ﾊﾞﾗ1ｇ),散剤２
4987035104513,8,エルカルチンＦＦ内用液１０％分包１０ｍＬ(分包1包),不動在庫
4987058185476,6,Ｌ－ケフレックス小児用顆粒　２００ｍｇ(分包1ｇ),散剤引出､袋 分包
4987123410434,291,エルサメットＳ配合錠(PTP1錠),不動在庫
4987080196112,452,エルデカルシトールカプセル０．５μｇ「サワイ」(PTP1Ｃ),茶劇
4987080198116,391,エルデカルシトールカプセル０．７５μｇ「サワイ」(PTP1Ｃ),茶劇
4987035189404,0,エルネオパＮＦ２号輸液　１０００ｍＬ(ｷｯﾄ1ｷｯﾄ),""
4987901093903,24,ｌ－メントール「ホエイ」(ﾊﾞﾗ1ｇ),冷蔵庫（大）､バラ
4987124156812,42,エレトリプタン錠２０ｍｇ「ＴＣＫ」(PTP1錠),不動在庫
4987035056416,103,塩化ナトリウム「オーツカ」(ﾊﾞﾗ1ｇ),散剤上
4987080558316,111,塩酸プロピベリン錠１０ｍｇ「ＳＷ」(PTP1錠),下ふ２
4987439095813,30750,エンシュア・Ｈ(缶250mL),湿布棚４
4987439095783,10750,エンシュア・リキッド(缶250mL),湿布棚４
4987080143277,23,エンテカビルＯＤ錠０．５ｍｇ「サワイ」(PTP1錠),不動在庫
4987087033410,126,エンドキサン錠５０ｍｇ(PTP1錠),抗癌剤（１）
4987443384408,152,エンレスト錠５０ｍｇ(PTP1錠),下
4987443384415,34,エンレスト錠１００ｍｇ(PTP1錠),下
4987443384446,85,エンレスト錠２００ｍｇ(PTP1錠),下
4987925116138,217,オイグルコン錠１．２５ｍｇ(PTP1錠),下劇､PTP／バラ
4987925116152,0,オイグルコン錠２．５ｍｇ(PTP1錠),""
4987447593011,15,オイラックスＨクリーム(ﾁｭｰﾌﾞ5ｇ),外用下､5G
4987447592014,30,オイラックスクリーム１０％(ﾁｭｰﾌﾞ10ｇ),外用下､１０Ｇ
4987246718219,26,オーグメンチン配合錠１２５ＳＳ　１８７．５ｍｇ(PTP1錠),不動在庫
4987246718226,86,オーグメンチン配合錠２５０ＲＳ　３７５ｍｇ(PTP1錠),茶
4987035081517,34,大塚生食注　２０ｍＬ(管1管),水剤４
4987213101020,100,オキサロール軟膏２５μｇ／ｇ　０．００２５％(ﾁｭｰﾌﾞ10ｇ),外用下劇
4987213101105,20,オキサロールローション２５μｇ／ｇ　０．００２５％(本10ｇ),外用下劇
4987081521104,66,オキシコドン徐放錠５ｍｇＮＸ「第一三共」(PTP1錠),麻薬
4987081521159,62,オキシコドン徐放錠１０ｍｇＮＸ「第一三共」(PTP1錠),麻薬
4987087042290,5,オキシコンチンＴＲ錠５ｍｇ(PTP1錠),麻薬
4987087036206,40,オキノーム散２．５ｍｇ(分包1包),麻薬
4987087036213,54,オキノーム散５ｍｇ(分包1包),麻薬
4987087039917,6,オキノーム散１０ｍｇ(分包1包),麻薬
4987616004089,1,オゼンピック皮下注０．２５ｍｇＳＤ　０．５ｍＬ(ｷｯﾄ1ｷｯﾄ),冷蔵庫大
4987616004102,0,オゼンピック皮下注０．５ｍｇＳＤ　０．５ｍＬ(ｷｯﾄ1ｷｯﾄ),""
4987616004126,0,オゼンピック皮下注１．０ｍｇＳＤ　１ｍｇ０．５ｍＬ(ｷｯﾄ1ｷｯﾄ),""
4987616003655,9,オゼンピック皮下注２ｍｇ　１．５ｍＬ(ｷｯﾄ1ｷｯﾄ),冷蔵庫大　上
4987947000033,190,オテズラ錠３０ｍｇ(PTP1錠),茶劇
4987039421296,408,オパルモン錠５μｇ(PTP1錠),茶､PTP
4987039451873,425,オパルモン錠５μｇ(ﾊﾞﾗ1錠),カセット､バラ
4987748003011,5.5,オプスミット錠１０ｍｇ(PTP1錠),下劇
4987116780315,33,オプソ内服液５ｍｇ　２．５ｍＬ(分包1包),麻薬
4987116780414,10,オプソ内服液１０ｍｇ　５ｍＬ(分包1包),麻薬
4987123002721,182,オメガ－３脂肪酸エチル粒状カプセル２ｇ「武田テバ」(分包1包),クラシエ漢方棚
4987925303101,129,オメプラール錠１０　１０ｍｇ(PTP1錠),下
4987171534212,0,オメプラゾール錠１０ｍｇ「ケミファ」(PTP1錠),""
